NO,HARGA,LB,LT,KT,KM,GRS
1,3800000000,220,220,3,3,0
2,4600000000,180,137,4,3,2
3,3000000000,267,250,4,4,4
4,430000000,40,25,2,2,0
5,9000000000,400,355,6,5,3
6,4970000000,300,154,5,3,3
7,2600000000,120,150,3,2,1
8,10500000000,350,247,4,4,0
9,3250000000,125,90,3,3,0
10,4500000000,250,96,5,4,1
11,3600000000,154,110,3,3,3
12,9500000000,450,240,4,4,1
13,10500000000,218,118,3,3,2
14,12500000000,200,979,4,2,6
15,4600000000,180,137,5,4,2
16,3000000000,126,144,4,2,2
17,6000000000,400,150,5,4,1
18,7500000000,150,253,5,2,2
19,18000000000,200,251,5,3,3
20,9700000000,450,248,5,5,4
21,14000000000,300,700,8,5,2
22,8000000000,315,218,7,3,2
23,700000000,75,75,2,3,0
24,5500000000,350,230,5,5,3
25,11000000000,650,695,9,6,2
26,4000000000,250,199,8,2,2
27,3900000000,210,130,3,4,2
28,6500000000,300,200,5,5,4
29,5800000000,175,200,6,4,2
30,3200000000,140,110,3,3,2
31,8800000000,400,230,5,5,2
32,42000000000,900,600,7,7,1
33,1100000000,102,102,2,1,0
34,10900000000,646,428,5,5,2
35,3600000000,145,200,8,8,1
36,4000000000,220,120,4,4,3
37,6000000000,325,222,6,5,0
38,6500000000,300,200,5,5,1
39,4500000000,250,154,6,3,1
40,4500000000,247,105,5,5,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
